일자,콜평균내재변동성,풋평균내재변동성,대표변동성,역사적변동성(90일)
"2008/12/30",38.00,47.30,44.20,56.40
"2008/12/29",40.80,44.90,41.50,56.50
"2008/12/26",46.40,35.80,42.60,56.50
"2008/12/24",45.40,43.90,44.90,56.50
"2008/12/23",49.30,41.50,44.60,56.50
"2008/12/22",48.90,42.50,45.90,56.30
"2008/12/19",56.00,44.50,50.50,56.30
"2008/12/18",60.30,46.30,53.10,56.30
"2008/12/17",67.10,50.90,59.30,56.30
"2008/12/16",66.50,57.50,62.60,56.30
"2008/12/15",64.00,61.50,63.00,56.30
"2008/12/12",66.90,60.60,63.00,55.90
"2008/12/11",58.20,47.90,54.20,55.40
"2008/12/10",51.40,46.50,50.30,55.40
"2008/12/09",53.50,58.40,55.40,55.00
"2008/12/08",65.00,53.80,64.30,55.00
"2008/12/05",51.30,55.00,52.40,53.50
"2008/12/04",55.20,60.90,59.60,53.40
"2008/12/03",50.90,55.50,53.00,53.30
"2008/12/02",55.10,61.70,58.50,53.40
"2008/12/01",54.90,58.80,57.40,53.40
"2008/11/28",52.10,55.90,53.90,53.40
"2008/11/27",61.60,51.60,57.90,53.40
"2008/11/26",65.30,62.50,64.30,53.40
"2008/11/25",74.60,72.80,73.30,52.70
"2008/11/24",76.00,82.70,81.10,52.70
"2008/11/21",77.30,79.70,77.70,52.40
"2008/11/20",81.00,91.30,89.70,51.60
"2008/11/19",79.00,76.80,77.50,50.50
"2008/11/18",70.40,78.90,77.60,50.60
"2008/11/17",70.30,80.10,77.20,50.20
"2008/11/14",72.70,74.00,73.70,50.20
"2008/11/13",73.70,87.40,80.20,50.40
"2008/11/12",74.10,54.90,65.60,50.20
"2008/11/11",67.50,68.60,68.20,50.30
"2008/11/10",78.30,63.10,72.80,50.20
"2008/11/07",65.80,63.00,65.60,50.20
"2008/11/06",61.30,77.60,75.00,49.80
"2008/11/05",59.00,52.00,55.00,48.30
"2008/11/04",67.20,60.80,64.90,48.20
"2008/11/03",78.20,80.60,79.50,48.00
"2008/10/31",81.40,91.00,85.00,48.00
"2008/10/30",83.90,78.90,83.30,47.80
"2008/10/29",69.40,102.50,97.80,43.40
"2008/10/28",64.60,74.00,66.60,43.30
"2008/10/27",66.10,97.00,82.80,42.30
"2008/10/24",55.60,102.10,101.00,42.20
"2008/10/23",70.70,75.00,74.20,38.50
"2008/10/22",49.20,70.10,66.00,36.90
"2008/10/21",53.80,58.30,57.10,36.10
"2008/10/20",66.70,68.50,67.60,36.30
"2008/10/17",81.40,79.30,79.50,35.90
"2008/10/16",64.20,82.10,80.20,35.80
"2008/10/15",45.20,51.50,49.20,32.00
"2008/10/14",45.60,50.00,47.80,31.90
"2008/10/13",58.10,57.50,57.80,30.20
"2008/10/10",62.60,68.90,66.40,29.50
"2008/10/09",46.90,49.50,48.80,28.90
"2008/10/08",50.40,53.20,52.80,28.80
"2008/10/07",38.80,46.10,40.70,27.90
"2008/10/06",40.40,43.20,42.40,27.90
"2008/10/02",32.30,38.30,36.80,27.30
"2008/10/01",31.90,31.80,31.90,27.30
"2008/09/30",28.00,42.80,30.60,27.30
"2008/09/29",32.80,38.60,37.30,27.30
"2008/09/26",37.20,34.00,35.00,27.30
"2008/09/25",37.40,33.60,36.20,27.20
"2008/09/24",38.90,34.00,36.60,27.20
"2008/09/23",35.80,36.20,35.90,27.10
"2008/09/22",35.40,36.50,36.00,27.40
"2008/09/19",42.10,34.20,39.20,27.40
"2008/09/18",38.80,41.30,40.20,26.10
"2008/09/17",33.00,37.20,35.40,25.90
"2008/09/16",39.60,40.20,40.10,25.50
"2008/09/12",29.70,27.40,28.50,23.80
"2008/09/11",29.10,26.50,27.20,23.40
"2008/09/10",30.00,26.30,29.10,23.40
"2008/09/09",27.70,26.60,27.20,23.40
"2008/09/08",30.40,28.10,30.00,23.30
"2008/09/05",25.50,25.30,25.40,21.50
"2008/09/04",28.00,25.10,26.50,21.60
"2008/09/03",25.80,27.50,26.60,21.60
"2008/09/02",28.80,27.40,27.80,21.60
"2008/09/01",31.80,26.10,26.40,21.60
"2008/08/29",25.10,28.20,27.60,21.00
"2008/08/28",28.20,25.70,26.10,21.00
"2008/08/27",29.10,26.40,27.80,21.00
"2008/08/26",27.00,26.40,26.60,21.00
"2008/08/25",25.90,26.90,26.60,21.00
"2008/08/22",23.90,24.80,24.50,21.20
