일자,콜평균내재변동성,풋평균내재변동성,대표변동성,역사적변동성(90일)
"2017/05/12",11.00,11.00,11.00,10.00
"2017/05/11",13.10,12.90,13.00,9.90
"2017/05/10",15.70,16.30,16.10,9.70
"2017/05/08",16.90,18.00,17.10,9.50
"2017/05/04",8.90,10.30,9.30,8.60
"2017/05/02",8.40,9.40,8.80,8.50
"2017/04/28",8.00,8.40,8.20,8.50
"2017/04/27",7.70,9.50,8.30,8.50
"2017/04/26",7.90,10.20,8.50,8.50
"2017/04/25",6.90,10.40,7.60,8.50
"2017/04/24",8.00,11.20,9.10,8.30
"2017/04/21",9.50,11.30,10.10,8.20
"2017/04/20",10.30,12.40,10.90,8.10
"2017/04/19",10.80,13.60,12.20,8.20
"2017/04/18",10.80,14.20,12.20,8.80
"2017/04/17",11.40,14.20,12.50,8.80
"2017/04/14",11.50,14.70,13.10,9.00
"2017/04/13",10.20,13.30,11.10,9.00
"2017/04/12",11.80,11.60,11.70,8.90
"2017/04/11",11.70,13.70,12.70,8.90
"2017/04/10",12.20,14.00,13.10,8.90
"2017/04/07",9.20,12.30,10.60,8.80
"2017/04/06",9.00,10.90,9.90,8.80
"2017/04/05",7.70,10.40,8.90,8.70
"2017/04/04",8.60,10.00,9.20,8.80
"2017/04/03",8.60,10.20,9.30,8.80
"2017/03/31",9.30,9.00,9.20,9.00
"2017/03/30",8.60,10.00,9.20,9.00
"2017/03/29",8.80,10.50,9.40,9.00
"2017/03/28",9.20,11.20,10.00,9.00
"2017/03/27",9.90,11.90,11.00,9.00
"2017/03/24",10.00,10.90,10.40,8.90
"2017/03/23",10.40,11.70,10.90,9.00
"2017/03/22",10.30,12.70,11.20,9.30
"2017/03/21",10.50,11.90,10.90,9.90
"2017/03/20",10.10,10.60,10.30,10.50
"2017/03/17",8.30,11.60,9.20,10.50
"2017/03/16",9.20,11.00,9.90,10.50
"2017/03/15",9.70,10.80,10.00,10.50
"2017/03/14",8.70,11.30,9.20,10.50
"2017/03/13",8.30,10.90,9.00,10.60
"2017/03/10",8.40,11.00,9.20,10.50
"2017/03/09",8.80,12.10,10.30,10.50
"2017/03/08",10.00,12.40,11.10,10.50
"2017/03/07",10.60,13.20,11.70,10.50
"2017/03/06",10.90,13.50,12.00,10.60
"2017/03/03",9.20,10.70,10.00,10.70
"2017/03/02",9.00,10.00,9.40,10.60
"2017/02/28",8.20,10.50,9.20,10.50
"2017/02/27",9.50,8.40,8.90,10.50
"2017/02/24",8.00,8.40,8.20,10.50
"2017/02/23",7.90,8.70,8.30,10.40
"2017/02/22",7.50,9.10,8.10,10.40
"2017/02/21",8.40,9.10,8.60,10.40
"2017/02/20",8.30,9.60,8.80,10.40
"2017/02/17",8.30,9.40,8.70,10.40
"2017/02/16",7.90,9.80,8.80,10.80
"2017/02/15",8.40,9.70,8.90,10.80
"2017/02/14",8.60,9.80,9.20,10.80
"2017/02/13",8.70,10.00,9.20,10.90
"2017/02/10",8.70,9.90,9.30,10.90
"2017/02/09",10.00,9.60,9.80,10.90
"2017/02/08",13.10,12.00,12.60,11.10
"2017/02/07",13.50,13.20,13.30,11.10
"2017/02/06",13.90,12.70,13.30,11.10
"2017/02/03",12.00,10.30,11.20,11.20
"2017/02/02",11.50,11.00,11.20,11.20
"2017/02/01",11.20,11.10,11.20,11.20
"2017/01/31",12.30,10.40,11.20,11.20
"2017/01/26",9.50,10.50,9.80,11.10
"2017/01/25",9.20,11.50,10.20,11.10
"2017/01/24",10.40,11.20,10.80,11.20
"2017/01/23",9.80,12.50,10.90,11.20
"2017/01/20",11.10,10.70,10.90,12.10
"2017/01/19",10.00,11.60,10.80,12.30
"2017/01/18",10.50,10.70,10.60,12.30
"2017/01/17",10.00,10.20,10.10,12.30
"2017/01/16",10.30,9.80,10.00,12.30
"2017/01/13",9.30,9.90,9.60,12.40
"2017/01/12",7.90,13.20,9.50,12.30
"2017/01/11",12.10,13.80,12.70,12.30
"2017/01/10",8.90,13.00,10.80,12.00
"2017/01/09",9.70,12.30,11.00,12.00
"2017/01/06",8.40,10.50,9.40,12.00
"2017/01/05",9.60,10.40,10.00,12.00
"2017/01/04",8.50,11.40,9.70,12.00
"2017/01/03",8.60,12.20,9.60,12.00
"2017/01/02",10.10,11.30,10.60,11.90
