일자,콜평균내재변동성,풋평균내재변동성,대표변동성,역사적변동성(90일)
"2007/12/28",19.70,26.80,24.00,27.30
"2007/12/27",21.60,26.00,23.50,29.40
"2007/12/26",26.60,20.00,24.10,29.60
"2007/12/24",25.10,21.70,24.70,29.60
"2007/12/21",26.40,23.40,26.10,30.30
"2007/12/20",25.90,29.50,27.80,30.10
"2007/12/18",29.90,30.00,30.00,30.30
"2007/12/17",29.50,32.20,31.20,30.20
"2007/12/14",27.90,29.80,28.80,29.90
"2007/12/13",25.20,33.30,29.20,29.80
"2007/12/12",32.10,29.70,31.70,29.80
"2007/12/11",42.00,32.70,38.70,30.60
"2007/12/10",34.20,32.60,33.00,30.60
"2007/12/07",25.60,28.00,27.50,30.60
"2007/12/06",27.90,25.80,26.90,31.40
"2007/12/05",31.90,29.10,31.50,31.50
"2007/12/04",29.50,29.30,29.40,31.50
"2007/12/03",31.50,32.60,32.00,31.40
"2007/11/30",30.90,31.10,31.00,31.40
"2007/11/29",33.80,31.90,33.00,31.60
"2007/11/28",34.30,38.70,37.70,31.30
"2007/11/27",37.70,35.10,37.10,31.30
"2007/11/26",34.90,34.40,34.80,31.30
"2007/11/23",32.70,41.00,38.40,30.80
"2007/11/22",34.40,37.30,36.30,30.80
"2007/11/21",33.70,45.50,43.60,30.80
"2007/11/20",32.80,36.90,34.80,30.30
"2007/11/19",32.90,36.80,35.80,30.30
"2007/11/16",31.50,34.70,33.20,30.20
"2007/11/15",31.20,34.40,33.30,30.10
"2007/11/14",31.10,32.90,32.00,30.20
"2007/11/13",34.30,35.30,34.90,30.10
"2007/11/12",35.50,38.80,37.80,30.20
"2007/11/09",30.90,33.80,32.70,29.70
"2007/11/08",35.80,38.70,38.10,29.70
"2007/11/07",23.40,23.30,23.30,29.10
"2007/11/06",26.20,29.30,26.60,29.10
"2007/11/05",30.70,36.20,32.60,29.00
"2007/11/02",24.70,35.10,32.00,29.10
"2007/11/01",25.30,27.00,26.00,28.80
"2007/10/31",30.30,32.60,31.10,28.90
"2007/10/30",30.40,31.80,31.00,28.90
"2007/10/29",28.30,31.50,29.20,29.00
"2007/10/26",27.00,29.20,27.30,28.80
"2007/10/25",27.90,30.30,28.80,28.80
"2007/10/24",30.40,34.80,34.10,28.60
"2007/10/23",26.80,29.00,27.30,28.60
"2007/10/22",27.80,34.10,31.60,28.50
"2007/10/19",22.90,30.10,27.30,28.00
"2007/10/18",23.80,27.20,25.50,27.80
"2007/10/17",23.60,27.30,25.50,27.80
"2007/10/16",24.20,27.10,26.20,27.80
"2007/10/15",24.00,25.50,24.80,27.70
"2007/10/12",25.10,24.90,25.00,27.90
"2007/10/11",26.00,23.00,24.60,27.70
"2007/10/10",16.00,20.70,17.60,27.70
"2007/10/09",22.60,23.90,23.10,27.60
"2007/10/08",21.60,27.20,23.90,27.60
"2007/10/05",22.10,22.70,22.40,27.60
"2007/10/04",24.50,22.30,23.40,27.60
"2007/10/02",21.40,21.70,21.50,27.60
"2007/10/01",21.10,19.60,20.50,27.20
"2007/09/28",19.60,22.50,20.90,27.20
"2007/09/27",22.40,22.50,22.50,27.20
"2007/09/21",21.10,23.60,22.10,27.20
"2007/09/20",21.10,23.10,21.90,27.20
"2007/09/19",25.90,23.50,25.00,27.20
"2007/09/18",29.00,35.20,33.00,26.60
"2007/09/17",27.10,30.80,28.90,26.40
"2007/09/14",28.00,32.00,29.90,26.40
"2007/09/13",31.20,35.90,33.30,26.40
"2007/09/12",24.40,31.50,29.60,26.20
"2007/09/11",27.30,44.00,34.40,26.00
"2007/09/10",27.60,35.40,30.40,26.00
"2007/09/07",22.80,28.50,25.20,25.50
"2007/09/06",28.00,27.60,27.90,25.50
"2007/09/05",23.90,32.10,28.80,25.50
"2007/09/04",28.80,34.10,32.10,25.50
"2007/09/03",30.80,31.00,30.90,25.50
"2007/08/31",32.40,30.50,31.90,25.50
"2007/08/30",31.60,30.40,31.00,25.50
"2007/08/29",36.40,33.70,35.60,25.60
"2007/08/28",36.00,34.30,35.50,25.60
"2007/08/27",31.20,32.00,31.60,25.50
"2007/08/24",30.10,35.50,32.70,25.50
"2007/08/23",28.00,42.20,34.90,25.50
"2007/08/22",29.30,43.90,34.90,25.20
"2007/08/21",31.70,47.80,38.50,25.20
"2007/08/20",36.00,49.90,40.70,25.20
"2007/08/17",38.50,53.30,44.40,23.80
"2007/08/16",34.60,47.10,39.80,23.10
"2007/08/14",28.60,42.60,35.10,20.10
"2007/08/13",28.80,42.70,35.40,20.00
"2007/08/10",28.20,44.10,37.60,19.90
"2007/08/09",19.10,18.00,18.60,18.40
"2007/08/08",26.10,30.50,27.90,18.40
"2007/08/07",28.10,40.10,34.10,18.10
"2007/08/06",29.10,47.20,36.60,18.20
"2007/08/03",23.40,41.70,30.80,18.00
"2007/08/02",29.60,49.60,37.80,18.00
"2007/08/01",29.70,50.20,39.30,17.90
"2007/07/31",26.40,34.80,29.50,16.40
"2007/07/30",30.90,36.80,33.10,16.30
"2007/07/27",25.60,32.10,28.90,16.20
"2007/07/26",23.20,29.10,26.00,14.40
"2007/07/25",23.40,26.50,25.00,13.80
"2007/07/24",22.30,26.20,24.50,14.00
"2007/07/23",22.70,25.90,24.60,14.50
"2007/07/20",21.80,26.30,24.20,14.60
"2007/07/19",24.00,25.90,25.00,14.30
"2007/07/18",23.10,28.60,25.90,14.30
"2007/07/16",22.60,29.00,26.30,14.10
"2007/07/13",26.50,31.00,29.70,14.00
"2007/07/12",10.10,20.50,15.40,13.50
"2007/07/11",19.60,26.40,22.70,14.50
"2007/07/10",21.50,26.50,23.90,14.50
"2007/07/09",22.10,28.50,24.60,15.30
"2007/07/06",17.10,23.20,19.80,15.30
"2007/07/05",18.80,24.20,21.30,15.30
"2007/07/04",18.20,25.10,21.10,15.30
"2007/07/03",18.00,25.80,21.00,15.10
"2007/07/02",17.40,24.90,20.40,14.80
"2007/06/29",15.40,24.50,19.40,14.70
"2007/06/28",16.80,24.50,20.30,14.60
"2007/06/27",17.70,25.40,21.30,14.60
"2007/06/26",18.40,25.00,21.30,14.60
"2007/06/25",18.00,28.00,22.80,14.50
"2007/06/22",18.50,26.50,22.50,14.60
"2007/06/21",18.00,25.40,21.30,14.40
"2007/06/20",17.80,25.70,21.90,14.40
"2007/06/19",16.90,24.00,20.70,14.30
"2007/06/18",16.60,23.20,19.70,14.30
"2007/06/15",15.50,23.40,19.00,14.00
"2007/06/14",16.70,16.80,16.70,14.40
"2007/06/13",19.60,21.50,20.40,14.10
"2007/06/12",18.80,25.50,21.90,14.10
"2007/06/11",20.30,27.00,23.40,14.10
"2007/06/08",19.00,25.70,21.80,14.10
"2007/06/07",19.10,27.50,23.10,13.90
"2007/06/05",18.70,29.00,22.40,13.90
"2007/06/04",18.90,32.40,24.00,14.10
"2007/06/01",16.50,25.60,19.80,13.90
"2007/05/31",15.00,24.70,19.20,13.90
"2007/05/30",14.50,25.20,20.20,13.80
"2007/05/29",13.80,24.30,19.90,13.80
"2007/05/28",14.00,23.00,18.60,13.90
"2007/05/25",14.10,22.30,18.00,13.90
"2007/05/23",13.20,22.00,16.80,13.80
"2007/05/22",13.10,21.90,17.80,14.10
"2007/05/21",13.30,21.50,17.40,14.00
"2007/05/18",13.50,20.70,17.50,14.20
"2007/05/17",13.50,21.40,17.90,14.20
"2007/05/16",14.60,21.50,17.90,14.30
"2007/05/15",14.70,21.80,18.10,14.40
"2007/05/14",14.60,21.70,18.60,14.40
"2007/05/11",14.60,20.90,18.00,14.80
"2007/05/10",10.60,10.90,10.70,14.80
"2007/05/09",19.10,19.00,19.10,14.80
"2007/05/08",14.60,21.30,18.30,14.80
"2007/05/07",14.80,22.20,18.60,14.80
"2007/05/04",13.40,21.40,17.60,14.80
"2007/05/03",14.30,22.10,18.70,14.80
"2007/05/02",15.50,22.90,19.60,14.80
"2007/04/30",16.00,22.80,19.40,14.80
"2007/04/27",15.10,22.30,19.40,14.90
"2007/04/26",14.10,20.20,17.40,14.80
"2007/04/25",14.40,20.50,17.60,15.40
"2007/04/24",13.60,20.70,17.00,15.30
"2007/04/23",14.10,20.90,17.20,15.40
"2007/04/20",13.90,21.10,17.30,15.40
"2007/04/19",15.30,22.70,18.80,15.40
"2007/04/18",14.80,21.40,18.00,15.20
"2007/04/17",15.20,21.90,18.50,15.30
"2007/04/16",14.30,22.10,17.60,15.30
"2007/04/13",14.40,21.60,17.70,15.30
"2007/04/12",10.60,12.50,11.50,15.30
"2007/04/11",15.70,18.30,16.80,15.20
"2007/04/10",16.30,23.50,20.10,15.20
"2007/04/09",15.90,27.50,21.50,15.30
"2007/04/06",14.10,23.70,18.60,15.20
"2007/04/05",15.30,25.30,19.70,15.20
"2007/04/04",15.20,27.50,20.40,15.20
"2007/04/03",16.00,26.90,20.90,15.20
"2007/04/02",15.70,28.20,21.20,15.20
"2007/03/30",15.60,25.70,20.00,15.20
"2007/03/29",16.60,26.10,20.30,15.20
"2007/03/28",16.10,26.40,20.70,15.20
"2007/03/27",16.70,24.30,19.60,15.10
"2007/03/26",15.90,24.70,19.70,15.10
"2007/03/23",15.00,23.40,18.90,15.10
"2007/03/22",15.70,23.50,18.80,15.10
"2007/03/21",15.80,25.40,20.20,15.30
"2007/03/20",16.20,24.80,19.30,15.30
"2007/03/19",16.70,25.80,19.80,15.40
"2007/03/16",15.10,25.00,19.10,15.30
"2007/03/15",16.00,24.00,19.20,15.30
"2007/03/14",16.40,25.00,20.20,15.20
"2007/03/13",14.60,23.80,19.00,14.80
"2007/03/12",14.60,23.20,17.50,14.80
"2007/03/09",13.90,22.70,18.40,14.70
"2007/03/08",9.40,20.40,14.10,14.70
"2007/03/07",17.60,26.30,21.90,14.70
"2007/03/06",19.80,29.70,24.50,14.60
"2007/03/05",24.50,31.80,28.50,14.30
"2007/03/02",17.00,26.20,21.70,13.50
"2007/02/28",18.30,26.20,22.30,13.50
"2007/02/27",15.60,18.60,17.20,12.70
"2007/02/26",15.90,19.30,17.20,12.60
"2007/02/23",13.70,17.80,15.50,12.60
"2007/02/22",14.80,18.40,16.30,12.60
"2007/02/21",15.00,17.70,16.20,12.70
"2007/02/20",14.20,18.60,16.30,12.70
"2007/02/16",13.10,17.40,15.00,12.70
"2007/02/15",13.40,17.60,15.30,12.80
"2007/02/14",13.90,18.10,15.60,13.20
"2007/02/13",15.00,18.20,16.60,13.40
"2007/02/12",14.40,19.20,16.80,13.40
"2007/02/09",13.70,17.90,15.80,13.30
"2007/02/08",14.80,14.70,14.70,13.30
"2007/02/07",19.20,18.60,18.90,13.50
"2007/02/06",18.20,22.30,20.10,13.50
"2007/02/05",17.40,22.20,19.60,13.50
"2007/02/02",13.30,20.50,16.00,13.70
"2007/02/01",14.80,20.70,17.60,13.20
"2007/01/31",17.00,20.70,18.90,12.90
"2007/01/30",15.70,21.60,18.90,12.80
"2007/01/29",16.30,20.80,18.70,12.90
"2007/01/26",13.90,20.00,17.40,12.80
"2007/01/25",14.50,17.60,16.00,13.10
"2007/01/24",14.50,19.50,16.70,13.20
"2007/01/23",14.20,20.50,17.30,13.00
"2007/01/22",14.90,20.10,17.50,13.30
"2007/01/19",13.70,20.40,17.00,13.30
"2007/01/18",14.10,19.10,16.40,13.00
"2007/01/17",13.60,19.30,16.30,13.00
"2007/01/16",13.70,18.50,16.00,12.90
"2007/01/15",13.60,19.20,16.50,12.90
"2007/01/12",13.40,19.40,16.30,12.90
"2007/01/11",13.70,18.60,16.20,12.70
"2007/01/10",17.10,27.90,22.90,12.60
"2007/01/09",18.70,21.10,19.90,12.60
"2007/01/08",20.50,23.60,22.40,12.60
"2007/01/05",14.90,19.70,17.70,12.50
"2007/01/04",17.10,19.40,18.40,12.50
"2007/01/03",18.00,19.80,19.00,12.50
"2007/01/02",14.30,17.60,15.90,12
