일자,콜평균내재변동성,풋평균내재변동성,대표변동성,역사적변동성(90일)
"2006/12/28",12.20,15.30,13.80,12.30
"2006/12/27",14.50,14.60,14.50,12.20
"2006/12/26",14.70,15.70,15.20,12.20
"2006/12/22",14.30,12.50,13.30,12.50
"2006/12/21",15.30,12.50,13.90,12.50
"2006/12/20",15.00,13.20,14.40,12.60
"2006/12/19",14.00,14.80,14.40,12.70
"2006/12/18",13.80,14.00,13.90,12.60
"2006/12/15",14.10,16.10,14.90,12.90
"2006/12/14",29.40,22.90,25.80,13.10
"2006/12/13",17.10,21.00,19.30,12.50
"2006/12/12",18.50,19.30,19.00,12.50
"2006/12/11",19.00,21.10,20.00,12.40
"2006/12/08",17.10,18.60,18.00,12.50
"2006/12/07",14.70,17.00,15.90,12.20
"2006/12/06",14.80,17.00,16.00,12.20
"2006/12/05",14.60,15.90,15.40,12.40
"2006/12/04",13.60,16.70,15.30,12.30
"2006/12/01",11.20,15.60,13.20,12.50
"2006/11/30",12.00,15.80,13.90,12.50
"2006/11/29",13.10,16.50,14.60,12.50
"2006/11/28",12.90,17.00,14.90,13.50
"2006/11/27",11.50,17.30,14.30,13.40
"2006/11/24",11.40,15.90,13.60,13.70
"2006/11/23",11.30,15.00,13.20,14.40
"2006/11/22",11.70,16.40,14.00,14.50
"2006/11/21",11.80,16.90,14.60,14.40
"2006/11/20",12.10,18.20,15.90,14.40
"2006/11/17",11.80,16.20,14.40,14.70
"2006/11/16",12.60,16.00,14.70,14.70
"2006/11/15",12.20,16.80,14.70,14.90
"2006/11/14",12.20,17.80,15.40,14.90
"2006/11/13",13.00,18.70,16.40,14.90
"2006/11/10",12.90,16.70,14.80,14.90
"2006/11/09",12.80,12.80,12.80,15.40
"2006/11/08",16.40,18.60,17.70,15.60
"2006/11/07",16.30,15.70,16.00,15.60
"2006/11/06",16.60,18.70,17.80,15.60
"2006/11/03",13.50,14.10,13.80,15.60
"2006/11/02",13.50,16.10,14.90,15.70
"2006/11/01",14.60,15.90,15.40,15.70
"2006/10/31",15.00,18.00,16.70,15.70
"2006/10/30",15.30,20.20,18.20,16.10
"2006/10/27",14.00,18.70,16.80,16.10
"2006/10/26",13.80,19.40,17.20,17.00
"2006/10/25",13.70,19.60,16.80,17.00
"2006/10/24",13.70,19.80,17.20,17.20
"2006/10/23",14.80,19.90,17.60,17.90
"2006/10/20",14.50,19.20,16.70,17.90
"2006/10/19",14.70,21.40,18.20,17.90
"2006/10/18",15.40,20.80,17.90,19.00
"2006/10/17",15.10,21.00,18.40,19.60
"2006/10/16",15.80,20.40,18.30,19.60
"2006/10/13",16.30,21.00,18.50,19.70
"2006/10/12",11.10,13.90,12.50,19.80
"2006/10/11",19.60,23.90,22.20,19.80
"2006/10/10",20.30,27.80,24.20,19.90
"2006/10/09",25.70,34.30,30.90,20.10
