일자,콜평균내재변동성,풋평균내재변동성,대표변동성,역사적변동성(90일)
"2015/12/30",11.70,14.30,13.20,15.40
"2015/12/29",13.30,12.80,13.10,15.50
"2015/12/28",14.00,12.30,13.20,15.50
"2015/12/24",11.00,12.70,11.60,15.30
"2015/12/23",12.10,11.40,12.00,15.40
"2015/12/22",11.50,15.00,11.70,15.40
"2015/12/21",13.40,14.20,13.60,15.30
"2015/12/18",13.10,12.20,12.90,15.30
"2015/12/17",10.90,14.70,11.50,15.30
"2015/12/16",14.50,14.20,14.50,15.30
"2015/12/15",15.20,15.70,15.30,15.10
"2015/12/14",14.90,15.10,14.90,15.10
"2015/12/11",13.10,14.50,13.40,15.10
"2015/12/10",13.60,14.60,13.80,15.20
"2015/12/09",17.60,12.20,14.70,15.20
"2015/12/08",18.50,13.10,15.30,15.30
"2015/12/07",17.40,13.20,14.90,15.30
"2015/12/04",12.30,16.40,14.40,15.20
"2015/12/03",12.80,14.70,13.70,15.20
"2015/12/02",12.40,12.90,12.70,15.20
"2015/12/01",11.00,14.00,11.90,15.10
"2015/11/30",13.50,12.70,13.00,14.90
"2015/11/27",11.70,10.70,11.20,14.60
"2015/11/26",11.90,10.50,11.40,14.60
"2015/11/25",11.60,10.40,11.00,14.50
"2015/11/24",10.40,11.50,10.90,14.50
"2015/11/23",12.70,10.60,11.60,14.50
"2015/11/20",11.10,12.20,11.70,14.50
"2015/11/19",11.20,13.10,11.70,14.70
"2015/11/18",12.30,14.40,13.30,14.50
"2015/11/17",12.60,13.90,13.30,14.50
"2015/11/16",15.80,14.30,14.70,14.60
"2015/11/13",12.20,14.20,13.40,14.30
"2015/11/12",13.30,13.00,13.20,14.80
"2015/11/11",11.30,15.20,13.20,14.80
"2015/11/10",14.00,16.80,15.70,14.90
"2015/11/09",15.70,11.80,13.70,14.80
"2015/11/06",12.80,12.20,12.50,14.80
"2015/11/05",12.90,12.10,12.50,14.90
"2015/11/04",12.30,12.90,12.60,14.90
"2015/11/03",13.00,11.50,12.30,14.90
"2015/11/02",11.90,15.00,13.20,14.90
"2015/10/30",14.50,10.50,12.50,15.10
"2015/10/29",12.50,13.10,12.90,15.10
"2015/10/28",14.60,12.50,13.60,15.10
"2015/10/27",13.20,12.50,12.90,15.10
"2015/10/26",12.10,13.00,12.50,15.10
"2015/10/23",12.20,11.90,12.00,15.10
"2015/10/22",13.10,12.10,12.50,15.10
"2015/10/21",12.00,13.20,12.60,15.00
"2015/10/20",12.70,14.90,13.50,15.00
"2015/10/19",13.80,15.10,14.40,15.00
"2015/10/16",13.90,14.30,14.10,15.00
"2015/10/15",14.30,14.30,14.30,15.00
"2015/10/14",14.50,15.00,14.70,14.90
"2015/10/13",13.30,15.30,14.40,14.90
"2015/10/12",13.70,15.40,14.40,15.00
"2015/10/08",11.90,15.80,13.00,15.00
"2015/10/07",9.40,17.50,12.30,15.00
"2015/10/06",11.80,21.00,15.60,14.80
"2015/10/05",15.20,19.70,17.40,14.70
"2015/10/02",13.10,16.90,15.00,15.00
"2015/10/01",13.70,16.60,14.70,15.00
"2015/09/30",14.00,21.40,15.00,15.10
"2015/09/25",15.70,16.90,16.20,15.00
"2015/09/24",15.20,17.70,16.50,15.10
"2015/09/23",17.20,17.30,17.30,15.10
"2015/09/22",13.50,18.70,14.90,14.80
"2015/09/21",16.10,19.20,17.70,14.80
"2015/09/18",13.60,16.90,14.20,14.50
"2015/09/17",17.70,20.00,18.60,14.50
"2015/09/16",16.70,21.00,17.30,14.50
"2015/09/15",16.00,23.40,17.60,14.00
"2015/09/14",15.50,23.20,18.40,14.00
"2015/09/11",15.70,19.80,17.50,14.00
"2015/09/10",11.00,24.30,12.70,14.00
"2015/09/09",18.50,15.20,17.50,13.80
"2015/09/08",17.20,16.70,17.00,12.90
"2015/09/07",16.30,18.10,17.10,12.90
"2015/09/04",14.60,21.20,18.00,12.90
"2015/09/03",12.30,19.40,15.20,12.80
"2015/09/02",15.90,21.50,17.50,12.80
"2015/09/01",15.30,22.90,18.90,13.10
"2015/08/31",11.60,23.40,14.20,12.90
"2015/08/28",12.20,18.30,13.70,12.90
"2015/08/27",14.20,21.40,16.60,12.60
"2015/08/26",18.00,24.80,18.80,12.60
"2015/08/25",25.60,31.50,28.00,12.20
"2015/08/24",27.20,35.70,33.30,12.10
"2015/08/21",18.30,18.40,18.30,11.60
"2015/08/20",12.90,15.60,14.60,11.30
"2015/08/19",11.60,16.20,13.70,11.40
"2015/08/18",12.70,14.10,13.50,11.40
"2015/08/17",13.90,13.20,13.40,11.50
"2015/08/13",13.90,12.30,13.10,11.40
"2015/08/12",9.20,20.80,14.60,11.40
"2015/08/11",14.60,12.00,13.00,11.50
"2015/08/10",13.40,13.30,13.40,11.40
"2015/08/07",10.30,12.90,11.50,11.50
"2015/08/06",11.70,13.10,12.60,11.60
"2015/08/05",12.00,11.90,11.90,11.40
"2015/08/04",10.10,14.40,11.60,11.40
"2015/08/03",13.40,12.60,12.90,11.40
"2015/07/31",9.30,15.40,11.60,11.30
"2015/07/30",12.90,12.40,12.60,11.30
"2015/07/29",12.70,12.90,12.80,11.20
"2015/07/28",12.40,14.00,13.00,11.20
"2015/07/27",12.20,13.50,12.70,11.20
"2015/07/24",10.40,13.50,12.00,11.20
"2015/07/23",10.90,12.80,11.70,11.70
"2015/07/22",10.70,13.90,12.30,11.70
"2015/07/21",9.90,14.10,11.50,11.60
"2015/07/20",11.30,13.10,12.30,11.70
"2015/07/17",10.00,13.70,11.80,11.60
"2015/07/16",10.30,13.40,11.00,11.60
"2015/07/15",10.80,14.00,12.20,11.80
"2015/07/14",12.20,14.20,13.20,11.80
"2015/07/13",11.40,16.30,12.50,11.80
"2015/07/10",13.90,15.10,14.50,11.60
"2015/07/09",13.80,14.40,14.00,11.60
"2015/07/08",13.40,16.90,15.50,11.60
"2015/07/07",15.20,13.70,14.50,11.50
"2015/07/06",15.10,20.20,18.30,11.50
"2015/07/03",11.70,15.60,13.40,10.70
"2015/07/02",10.00,14.50,11.80,10.70
"2015/07/01",11.60,14.70,12.40,10.70
"2015/06/30",11.30,17.40,13.00,10.60
"2015/06/29",12.60,17.10,14.60,10.60
"2015/06/26",10.40,12.90,11.40,10.40
"2015/06/25",11.60,11.70,11.70,10.40
"2015/06/24",9.30,13.40,10.90,10.40
"2015/06/23",11.50,12.40,11.70,10.50
"2015/06/22",13.20,13.90,13.50,10.20
"2015/06/19",12.70,13.30,13.00,10.20
"2015/06/18",11.00,15.60,12.90,10.30
"2015/06/17",12.00,15.10,13.00,10.30
"2015/06/16",11.20,15.40,13.20,10.30
"2015/06/15",11.90,14.20,12.80,10.20
"2015/06/12",10.50,14.30,12.80,10.20
"2015/06/11",13.50,12.50,13.00,10.20
"2015/06/10",13.20,11.10,12.10,10.20
"2015/06/09",13.50,11.10,12.30,10.30
"2015/06/08",12.80,14.00,13.30,10.30
"2015/06/05",10.90,13.90,12.20,10.30
"2015/06/04",10.20,14.60,12.20,10.30
"2015/06/03",12.40,12.20,12.30,10.30
"2015/06/02",12.00,11.60,11.80,10.40
"2015/06/01",11.20,12.90,12.00,10.30
"2015/05/29",11.50,10.10,10.80,10.60
"2015/05/28",10.90,12.10,11.60,10.60
"2015/05/27",10.40,13.70,12.50,10.60
"2015/05/26",10.10,11.80,10.90,10.00
"2015/05/22",9.10,11.10,9.80,10.00
"2015/05/21",9.80,11.10,10.60,9.90
"2015/05/20",10.60,10.50,10.60,10.00
"2015/05/19",10.40,10.10,10.30,9.90
"2015/05/18",9.80,11.40,10.50,10.30
"2015/05/15",10.60,11.80,11.50,10.40
"2015/05/14",11.60,11.80,11.70,10.20
"2015/05/13",11.40,10.50,10.90,10.40
"2015/05/12",13.20,8.80,11.10,10.60
"2015/05/11",13.10,9.20,10.90,10.60
"2015/05/08",11.30,8.90,9.90,10.60
"2015/05/07",10.20,9.70,9.90,10.60
"2015/05/06",10.20,11.30,10.80,10.60
"2015/05/04",11.50,7.30,9.30,10.70
"2015/04/30",10.50,7.20,8.60,10.70
"2015/04/29",10.20,9.10,9.60,10.60
"2015/04/28",11.90,8.50,9.60,10.70
"2015/04/27",12.60,9.90,10.80,10.70
"2015/04/24",11.90,10.70,11.10,10.70
"2015/04/23",13.20,11.60,12.80,10.90
"2015/04/22",11.90,9.70,10.70,11.00
"2015/04/21",10.60,10.50,10.50,11.00
"2015/04/20",10.80,11.80,11.20,11.00
"2015/04/17",10.90,11.40,11.20,11.00
"2015/04/16",11.60,11.60,11.60,11.10
"2015/04/15",11.30,10.80,11.10,11.00
"2015/04/14",10.40,12.00,10.90,11.00
"2015/04/13",11.20,11.20,11.20,11.10
"2015/04/10",10.10,11.00,10.40,11.00
"2015/04/09",9.70,10.80,10.20,10.80
"2015/04/08",11.00,11.60,11.30,10.80
"2015/04/07",11.70,12.90,12.30,10.80
"2015/04/06",12.00,12.10,12.00,10.90
"2015/04/03",11.50,8.60,10.30,10.90
"2015/04/02",11.00,9.00,10.00,10.90
"2015/04/01",10.20,11.20,10.70,10.90
"2015/03/31",8.80,11.80,10.30,10.90
"2015/03/30",11.50,9.70,10.60,10.90
"2015/03/27",11.70,8.30,9.70,11.00
"2015/03/26",11.70,9.30,10.20,11.00
"2015/03/25",11.60,10.10,10.80,10.80
"2015/03/24",11.00,10.70,10.90,10.80
"2015/03/23",11.00,10.80,10.90,11.00
"2015/03/20",10.40,9.70,10.10,11.00
"2015/03/19",10.70,9.70,10.20,11.00
"2015/03/18",11.90,10.80,11.40,11.00
"2015/03/17",10.70,11.00,10.70,11.20
"2015/03/16",10.90,10.40,10.60,10.60
"2015/03/13",10.50,10.30,10.40,10.60
"2015/03/12",13.20,10.10,11.20,10.60
"2015/03/11",7.90,14.10,10.40,11.10
"2015/03/10",10.60,10.50,10.50,11.10
"2015/03/09",11.10,9.60,10.20,11.10
"2015/03/06",6.90,9.60,8.00,10.90
"2015/03/05",9.00,8.50,8.80,10.80
"2015/03/04",8.20,9.70,8.90,11.00
"2015/03/03",8.60,9.80,9.10,11.10
"2015/03/02",8.70,10.80,9.60,11.40
"2015/02/27",9.90,8.80,9.30,11.50
"2015/02/26",8.70,10.70,9.60,11.50
"2015/02/25",9.00,10.70,9.70,11.50
"2015/02/24",10.80,9.90,10.30,11.50
"2015/02/23",11.00,9.80,10.30,11.50
"2015/02/17",10.30,10.40,10.30,11.70
"2015/02/16",10.50,10.20,10.30,11.80
"2015/02/13",10.00,11.10,10.50,11.80
"2015/02/12",11.60,11.80,11.70,11.70
"2015/02/11",11.80,12.00,11.90,11.80
"2015/02/10",14.20,10.00,11.70,12.10
"2015/02/09",13.40,12.10,12.80,12.10
"2015/02/06",10.50,12.30,11.20,12.00
"2015/02/05",10.80,14.50,12.60,12.00
"2015/02/04",12.00,12.00,12.00,12.00
"2015/02/03",11.80,14.20,12.90,12.00
"2015/02/02",13.00,14.20,13.50,12.00
"2015/01/30",13.00,11.60,12.10,12.10
"2015/01/29",14.00,11.80,12.80,12.10
"2015/01/28",11.70,13.60,12.40,12.10
"2015/01/27",11.20,12.80,11.80,12.20
"2015/01/26",12.70,13.20,12.90,12.10
"2015/01/23",11.60,12.10,11.80,12.20
"2015/01/22",13.20,12.70,12.90,12.10
"2015/01/21",11.40,14.10,12.30,12.20
"2015/01/20",12.10,13.20,12.50,12.20
"2015/01/19",13.60,12.30,13.00,12.10
"2015/01/16",13.10,13.70,13.50,11.90
"2015/01/15",13.40,12.10,12.80,11.80
"2015/01/14",11.60,13.90,12.90,11.80
"2015/01/13",12.50,12.50,12.50,11.80
"2015/01/12",11.80,12.90,12.20,11.80
"2015/01/09",11.60,12.20,11.90,11.80
"2015/01/08",10.60,13.80,11.70,11.70
"2015/01/07",12.90,14.40,13.60,11.50
"2015/01/06",13.10,14.80,14.10,11.50
"2015/01/05",10.20,13.40,11.40,11.40
"2015/01/02",10.70,11.60,11.10,11
