일자,콜평균내재변동성,풋평균내재변동성,대표변동성,역사적변동성(90일)
"2014/12/30",9.50,13.50,12.00,11.50
"2014/12/29",11.60,10.90,11.20,11.50
"2014/12/26",11.00,9.20,10.40,11.20
"2014/12/24",10.40,10.90,10.50,11.40
"2014/12/23",10.80,11.50,11.00,11.40
"2014/12/22",10.40,12.00,10.70,11.40
"2014/12/19",11.50,11.90,11.60,11.50
"2014/12/18",13.50,13.80,13.60,11.10
"2014/12/17",14.90,14.30,14.70,11.20
"2014/12/16",14.20,13.00,13.80,11.20
"2014/12/15",14.10,11.70,13.70,11.20
"2014/12/12",11.00,12.90,11.40,11.20
"2014/12/11",13.40,11.80,12.70,11.20
"2014/12/10",9.60,14.50,12.30,11.10
"2014/12/09",10.50,11.60,11.00,11.00
"2014/12/08",12.20,11.60,11.90,11.10
"2014/12/05",10.30,10.20,10.30,11.10
"2014/12/04",12.50,9.30,11.20,11.10
"2014/12/03",10.10,10.00,10.00,11.00
"2014/12/02",10.20,10.80,10.50,11.00
"2014/12/01",9.80,12.10,10.90,11.00
"2014/11/28",10.10,10.10,10.10,10.90
"2014/11/27",10.50,9.80,10.20,10.90
"2014/11/26",10.60,11.10,10.90,10.90
"2014/11/25",12.30,9.50,10.80,11.10
"2014/11/24",11.50,10.60,11.10,11.10
"2014/11/21",11.40,11.20,11.30,11.10
"2014/11/20",12.70,11.00,11.80,11.10
"2014/11/19",11.20,12.40,11.80,11.00
"2014/11/18",11.80,12.00,11.90,11.00
"2014/11/17",13.10,12.20,12.60,10.90
"2014/11/14",12.10,13.00,12.60,10.90
"2014/11/13",12.70,13.20,13.00,10.90
"2014/11/12",9.60,13.00,11.20,11.00
"2014/11/11",10.20,12.90,11.60,10.90
"2014/11/10",10.50,13.40,11.80,11.00
"2014/11/07",12.60,11.10,11.80,10.80
"2014/11/06",12.80,12.30,12.60,10.90
"2014/11/05",13.00,12.00,12.40,10.90
"2014/11/04",13.20,13.70,13.50,11.10
"2014/11/03",12.00,13.40,12.70,11.00
"2014/10/31",9.80,14.20,11.20,11.20
"2014/10/30",9.80,13.00,11.00,11.10
"2014/10/29",11.00,13.00,11.60,11.20
"2014/10/28",12.80,12.50,12.70,10.60
