일자,콜평균내재변동성,풋평균내재변동성,대표변동성,역사적변동성(90일)
"2013/12/30",12.00,12.50,12.20,11.80
"2013/12/27",12.30,11.00,11.70,11.80
"2013/12/26",13.70,9.50,11.90,11.90
"2013/12/24",12.90,9.50,11.70,12.20
"2013/12/23",13.80,10.80,13.00,12.20
"2013/12/20",13.20,11.90,12.90,12.20
"2013/12/19",13.80,13.00,13.50,12.20
"2013/12/18",16.50,13.60,15.80,12.50
"2013/12/17",15.80,13.50,15.00,12.50
"2013/12/16",15.60,15.10,15.50,12.50
"2013/12/13",14.40,14.60,14.50,12.50
"2013/12/12",13.70,15.80,14.30,12.50
"2013/12/11",10.90,21.70,17.00,12.50
"2013/12/10",13.30,16.50,14.80,12.50
"2013/12/09",15.40,15.30,15.40,12.50
"2013/12/06",15.00,14.00,14.50,12.40
"2013/12/05",13.20,16.30,14.70,12.40
"2013/12/04",13.90,14.70,14.40,12.40
"2013/12/03",13.40,14.20,13.90,12.40
"2013/12/02",14.40,13.10,13.60,12.30
"2013/11/29",13.10,12.90,13.00,12.20
"2013/11/28",13.10,14.00,13.50,12.30
"2013/11/27",14.10,14.00,14.10,12.30
"2013/11/26",14.50,13.20,14.10,12.40
"2013/11/25",14.10,12.50,13.10,12.40
"2013/11/22",12.30,14.40,13.20,12.40
"2013/11/21",13.30,15.40,14.60,13.40
"2013/11/20",14.30,12.30,13.00,13.20
"2013/11/19",13.00,12.80,12.90,13.10
"2013/11/18",12.90,13.50,13.20,13.20
"2013/11/15",12.70,13.60,12.90,13.20
"2013/11/14",13.60,12.90,13.10,12.80
"2013/11/13",15.00,14.30,14.60,13.10
"2013/11/12",12.20,12.90,12.50,12.80
"2013/11/11",16.50,10.50,13.40,12.70
"2013/11/08",11.60,11.80,11.70,12.90
"2013/11/07",10.40,14.00,12.30,13.60
"2013/11/06",12.40,11.70,12.00,13.60
"2013/11/05",11.40,12.30,11.80,13.70
"2013/11/04",11.70,13.80,12.80,13.80
"2013/11/01",11.50,12.60,12.00,14.00
"2013/10/31",13.60,11.20,11.80,14.50
"2013/10/30",12.30,11.80,12.10,14.30
"2013/10/29",12.40,11.10,11.80,14.30
"2013/10/28",11.90,11.80,11.80,14.30
"2013/10/25",10.90,12.50,11.80,14.30
"2013/10/24",12.10,12.00,12.10,14.50
"2013/10/23",12.40,12.50,12.50,14.50
"2013/10/22",13.10,12.20,12.60,14.50
"2013/10/21",13.00,12.20,12.60,14.50
"2013/10/18",12.50,12.20,12.40,14.90
"2013/10/17",13.20,12.60,12.80,15.10
"2013/10/16",14.50,12.60,13.20,15.10
"2013/10/15",12.30,13.10,12.70,15.10
"2013/10/14",14.30,12.50,13.20,15.00
"2013/10/11",13.70,12.70,13.20,15.00
"2013/10/10",13.60,15.60,14.60,14.90
"2013/10/08",13.90,12.90,13.50,14.90
"2013/10/07",14.60,16.30,15.40,14.90
"2013/10/04",13.40,13.90,13.60,14.90
"2013/10/02",14.00,12.70,13.30,15.10
"2013/10/01",14.80,13.70,14.20,15.10
"2013/09/30",14.90,13.50,14.10,15.10
