일자,콜평균내재변동성,풋평균내재변동성,대표변동성,역사적변동성(90일)
"2016/12/29",7.90,11.80,9.50,11.90
"2016/12/28",8.70,10.30,9.30,11.90
"2016/12/27",9.30,10.00,9.50,11.90
"2016/12/26",9.30,9.50,9.30,11.90
"2016/12/23",8.80,9.20,8.90,11.90
"2016/12/22",9.10,9.30,9.10,11.90
"2016/12/21",9.20,9.30,9.20,11.90
"2016/12/20",8.70,10.10,8.90,11.90
"2016/12/19",9.40,10.00,9.50,11.90
"2016/12/16",8.10,11.30,8.50,12.00
"2016/12/15",9.40,10.30,9.50,12.10
"2016/12/14",9.20,11.20,9.50,12.10
"2016/12/13",9.20,11.50,9.50,12.30
"2016/12/12",9.60,11.50,9.90,12.40
"2016/12/09",10.20,10.90,10.30,12.40
"2016/12/08",8.10,12.80,8.50,12.40
"2016/12/07",10.10,13.10,11.70,11.90
"2016/12/06",9.90,15.10,12.10,11.90
"2016/12/05",15.20,13.90,14.60,11.80
"2016/12/02",11.70,15.40,13.40,11.80
"2016/12/01",11.00,14.50,12.40,11.70
"2016/11/30",10.80,13.90,12.00,11.70
"2016/11/29",11.10,14.10,12.40,11.70
"2016/11/28",11.80,13.20,12.30,11.70
"2016/11/25",10.10,12.30,11.10,11.70
"2016/11/24",10.80,11.30,11.00,11.70
"2016/11/23",9.90,12.00,10.70,11.70
"2016/11/22",10.80,12.30,11.30,11.70
"2016/11/21",11.90,13.30,12.60,11.60
"2016/11/18",11.40,13.20,12.20,11.80
"2016/11/17",11.20,14.30,12.40,11.80
"2016/11/16",12.10,14.70,13.40,12.00
"2016/11/15",13.50,15.60,14.70,12.40
"2016/11/14",14.20,15.60,15.10,12.40
"2016/11/11",12.60,13.80,13.30,12.40
"2016/11/10",10.90,13.50,11.80,12.30
"2016/11/09",19.00,24.20,22.10,11.80
"2016/11/08",19.90,24.00,21.40,11.30
"2016/11/07",19.20,23.00,20.70,11.30
"2016/11/04",17.30,20.80,19.10,11.20
"2016/11/03",16.60,18.20,17.30,12.20
"2016/11/02",15.40,19.00,17.50,12.20
"2016/11/01",13.60,15.40,14.30,12.10
"2016/10/31",12.90,14.50,13.60,12.10
"2016/10/28",10.90,12.20,11.50,12.30
"2016/10/27",10.30,12.60,11.20,12.30
"2016/10/26",10.50,12.90,11.80,12.40
"2016/10/25",9.90,12.10,10.80,12.20
"2016/10/24",9.80,12.60,10.80,12.20
"2016/10/21",10.70,12.20,11.40,12.60
"2016/10/20",10.40,12.80,11.50,12.60
"2016/10/19",10.50,13.40,11.70,12.60
"2016/10/18",10.80,13.80,11.70,12.60
"2016/10/17",11.30,14.60,12.30,12.80
"2016/10/14",11.80,13.10,12.40,12.80
"2016/10/13",12.30,14.50,13.60,12.80
"2016/10/12",10.90,13.90,12.30,12.70
"2016/10/11",15.10,11.70,12.90,12.70
"2016/10/10",13.20,14.10,13.60,12.40
"2016/10/07",11.00,12.90,11.90,12.40
"2016/10/06",9.60,13.70,11.00,12.40
"2016/10/05",11.30,12.90,11.90,12.50
"2016/10/04",10.50,13.50,11.80,12.70
"2016/09/30",10.90,12.50,11.80,12.60
"2016/09/29",9.50,10.60,9.90,12.50
"2016/09/28",9.90,11.00,10.40,12.40
"2016/09/27",10.20,11.40,10.50,12.40
"2016/09/26",10.30,11.00,10.70,12.40
"2016/09/23",9.10,10.60,9.80,12.40
"2016/09/22",9.60,10.80,10.10,12.40
"2016/09/21",10.70,14.30,11.60,12.40
"2016/09/20",10.40,14.10,11.40,12.40
"2016/09/19",11.60,13.50,12.20,12.40
"2016/09/13",11.90,15.30,13.80,12.30
"2016/09/12",13.40,14.90,14.60,12.30
"2016/09/09",9.50,11.20,10.50,11.50
"2016/09/08",8.10,12.00,9.70,11.30
"2016/09/07",8.90,12.20,10.60,11.40
"2016/09/06",10.10,11.90,10.90,11.50
"2016/09/05",11.80,12.30,12.00,11.50
"2016/09/02",11.10,12.10,11.60,11.30
"2016/09/01",11.20,11.40,11.30,11.30
"2016/08/31",9.40,12.60,11.00,11.30
"2016/08/30",10.70,10.20,10.40,11.40
"2016/08/29",10.70,12.00,11.20,11.40
"2016/08/26",10.90,10.80,10.90,11.40
"2016/08/25",10.30,11.20,10.70,11.40
"2016/08/24",9.60,11.80,10.80,11.40
"2016/08/23",9.90,11.60,10.60,11.80
"2016/08/22",10.30,11.90,11.10,11.90
"2016/08/19",9.30,11.40,10.20,11.80
"2016/08/18",10.30,10.70,10.40,11.80
"2016/08/17",10.00,11.00,10.50,11.80
"2016/08/16",10.40,10.80,10.60,11.80
"2016/08/12",9.50,10.50,10.00,11.90
"2016/08/11",9.40,11.30,10.10,11.90
"2016/08/10",9.00,14.10,11.50,12.20
"2016/08/09",10.30,13.40,11.60,12.20
"2016/08/08",10.20,13.50,11.50,12.20
"2016/08/05",9.80,12.00,10.50,12.10
"2016/08/04",10.70,11.70,11.10,12.00
"2016/08/03",10.80,12.00,11.50,12.00
"2016/08/02",10.80,12.10,11.40,11.80
"2016/08/01",10.70,11.80,11.10,11.70
"2016/07/29",11.40,10.60,11.00,11.70
"2016/07/28",10.10,12.00,11.10,11.70
"2016/07/27",11.00,11.80,11.30,11.60
"2016/07/26",10.80,11.90,11.20,11.70
"2016/07/25",10.50,12.70,11.50,11.60
"2016/07/22",11.10,11.50,11.30,11.60
"2016/07/21",10.60,12.00,11.30,11.60
"2016/07/20",10.40,12.50,11.30,11.60
"2016/07/19",10.50,13.10,11.70,11.70
"2016/07/18",10.70,13.00,11.60,11.70
"2016/07/15",10.70,12.80,11.50,11.80
