일자,콜평균내재변동성,풋평균내재변동성,대표변동성,역사적변동성(90일)
"2012/12/28",15.10,14.50,14.90,13.70
"2012/12/27",13.90,14.80,14.30,13.70
"2012/12/26",17.80,9.00,12.70,13.70
"2012/12/24",17.50,10.10,13.90,13.70
"2012/12/21",16.40,11.00,13.20,13.90
"2012/12/20",13.30,12.60,13.00,13.80
"2012/12/18",14.80,11.50,13.80,13.90
"2012/12/17",15.30,11.30,13.20,14.20
"2012/12/14",14.00,11.80,13.40,14.30
"2012/12/13",12.20,15.00,12.70,14.20
"2012/12/12",16.00,14.00,15.10,14.50
"2012/12/11",14.40,16.10,15.10,14.60
"2012/12/10",15.60,15.80,15.70,14.60
"2012/12/07",14.50,13.50,14.10,14.60
"2012/12/06",14.30,14.90,14.60,15.10
"2012/12/05",15.80,14.90,15.50,15.10
"2012/12/04",14.50,16.00,15.20,15.80
"2012/12/03",15.10,15.70,15.40,15.80
"2012/11/30",15.50,12.90,14.10,16.00
"2012/11/29",14.60,14.60,14.60,16.00
"2012/11/28",15.10,14.90,15.00,16.20
"2012/11/27",14.50,15.40,14.90,16.20
"2012/11/26",15.50,15.00,15.20,16.30
"2012/11/23",14.20,15.10,14.50,16.50
"2012/11/22",14.00,15.10,14.40,16.50
"2012/11/21",14.00,16.10,15.20,16.40
"2012/11/20",14.80,15.40,15.10,16.70
"2012/11/19",15.70,16.00,15.80,17.10
"2012/11/16",15.30,17.30,16.50,17.00
"2012/11/15",14.80,17.90,16.50,17.00
"2012/11/14",15.30,16.60,15.80,17.00
"2012/11/13",15.70,16.80,16.40,17.10
"2012/11/12",16.60,16.50,16.50,17.10
"2012/11/09",15.70,17.00,16.10,17.10
"2012/11/08",14.50,18.50,16.60,17.10
"2012/11/07",15.10,20.10,16.90,17.00
"2012/11/06",18.10,20.90,18.90,17.30
"2012/11/05",19.90,19.50,19.70,17.20
"2012/11/02",15.80,17.10,16.30,17.10
"2012/11/01",18.50,17.90,18.20,17.00
"2012/10/31",16.60,19.60,18.10,17.10
"2012/10/30",18.20,18.10,18.10,17.60
"2012/10/29",19.50,18.80,19.10,17.70
"2012/10/26",18.20,20.10,19.60,17.70
"2012/10/25",18.20,17.40,18.00,17.50
"2012/10/24",17.80,19.20,18.60,17.70
"2012/10/23",16.70,18.20,17.80,17.70
"2012/10/22",17.60,17.10,17.40,17.70
"2012/10/19",15.40,16.20,15.90,17.70
"2012/10/18",15.30,15.70,15.50,17.60
"2012/10/17",15.00,15.80,15.30,17.90
"2012/10/16",15.10,16.00,15.50,17.90
"2012/10/15",16.80,16.20,16.40,18.40
"2012/10/12",15.80,17.20,16.60,18.40
"2012/10/11",16.70,16.70,16.70,19.00
"2012/10/10",18.60,17.70,18.10,19.00
"2012/10/09",19.80,12.00,15.80,18.70
"2012/10/08",20.50,16.20,18.10,18.70
"2012/10/05",17.10,14.40,15.60,18.80
"2012/10/04",17.60,15.90,16.80,18.80
"2012/10/02",15.30,17.10,16.20,18.80
"2012/09/28",15.00,15.60,15.30,19.00
"2012/09/27",17.50,14.70,16.50,19.10
